attachment,available_fields,decoded_frames,duration_s,fields,filename,format,fps,frame_shape,frames,path,readable,sample_count,sha256,size_bytes,split
other,,,,,.gitkeep,,,,,.gitkeep,,,,1,
other,,,,,.DS_Store,,,,,E题数据/.DS_Store,,,,6148,
1,video,163,8.7,,13.mp4,.mp4,30.0,"[720, 1280, 3]",261.0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/13.mp4,True,1,,1052449,q1_raw
1,video,278,14.133333333333333,,2.mp4,.mp4,30.0,"[720, 1280, 3]",424.0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/2.mp4,True,1,,1752558,q1_raw
1,video,431,19.266666666666666,,3.mp4,.mp4,30.0,"[720, 1280, 3]",578.0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4,True,1,,2322206,q1_raw
1,video,263,16.2,,9.mp4,.mp4,30.0,"[720, 1280, 3]",486.0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/9.mp4,True,1,,1938491,q1_raw
1,video,236,10.933333333333334,,5.mp4,.mp4,30.0,"[240, 320, 3]",328.0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3nNcZdcdvU/5.mp4,True,1,,336985,q1_raw
1,video,152,5.066666666666666,,0.mp4,.mp4,30.0,"[360, 486, 3]",152.0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-571d8cVauQ/0.mp4,True,1,,259577,q1_raw
1,video,455,18.4,,5.mp4,.mp4,30.0,"[360, 486, 3]",552.0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-571d8cVauQ/5.mp4,True,1,,813771,q1_raw
1,video,384,16.566666666666666,,8.mp4,.mp4,30.0,"[270, 480, 3]",497.0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-6rXp3zJ3kc/8.mp4,True,1,,567350,q1_raw
1,video,205,6.833333333333333,,0.mp4,.mp4,30.0,"[720, 1280, 3]",205.0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/0.mp4,True,1,,965453,q1_raw
1,video,81,9.233333333333333,,4.mp4,.mp4,30.0,"[720, 1280, 3]",277.0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/4.mp4,True,1,,1486121,q1_raw
1,video,149,10.766666666666667,,8.mp4,.mp4,30.0,"[720, 1280, 3]",323.0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/8.mp4,True,1,,1715052,q1_raw
