phrase,mean_abs_delta_cls,count
wasn ' t,1.126740,3
don ’ t,0.769727,4
doesn ' t,0.640966,5
a wide range,0.636185,3
s kind of,0.617854,4
one of the,0.532579,8
it was a,0.490037,3
i didn ',0.487339,3
didn ' t,0.449955,6
umm ) it,0.429235,7
t want to,0.428334,3
' s kind,0.412564,4
umm ) there,0.391283,3
' s what,0.379804,4
and that ',0.377173,7
", if you",0.376787,4
##tter ) i,0.369183,3
"hi, i",0.354678,3
we ' re,0.347319,5
don ' t,0.343175,19
if you are,0.336928,4
""" do you",0.332973,3
umm ) i,0.331435,4
umm ) the,0.327545,3
' t have,0.326219,3
( stutter,0.322492,14
of the movie,0.313156,4
that ' s,0.312976,15
and i don,0.312050,3
stutter ),0.311271,14
s ( uh,0.293396,4
can ' t,0.280736,3
", i '",0.273082,10
do you have,0.272196,3
i ' ve,0.269223,7
a lot of,0.266294,9
", and the",0.255781,4
in the water,0.253931,3
they ' re,0.251018,12
and when i,0.247763,3
"' s,",0.243867,3
this is a,0.239554,6
you ' ll,0.238180,5
' s (,0.236026,6
you don ',0.235664,3
. com.,0.234137,5
) there are,0.230836,3
' re going,0.227146,3
", you '",0.225407,3
", and you",0.223476,4
