order_1based,external_file_order_key,official_source_file,modality,zero_run_type,start_index_inclusive,end_index_exclusive,length_native_steps,run_ratio_of_500,relative_start,relative_end,sample_zero_row_ratio,frozen_P_values,frozen_O_values,zero_context_3_positions_diagnostic_only,certified_missingness
1,附件3_未对齐版本_01,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_01.pkl,audio,interior_zero_candidate,6,7,1,0.002,0.012,0.014,0.91,2,2,1,False
1,附件3_未对齐版本_01,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_01.pkl,audio,interior_zero_candidate,17,18,1,0.002,0.034,0.036,0.91,2,2,1,False
1,附件3_未对齐版本_01,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_01.pkl,audio,interior_zero_candidate,38,40,2,0.004,0.076,0.08,0.91,2,2,2,False
1,附件3_未对齐版本_01,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_01.pkl,audio,suffix_zero_ambiguous,49,500,451,0.902,0.098,1.0,0.91,2,2,0,False
2,附件3_未对齐版本_02,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_02.pkl,audio,interior_zero_candidate,9,10,1,0.002,0.018,0.02,0.748,2,2,1,False
2,附件3_未对齐版本_02,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_02.pkl,audio,interior_zero_candidate,30,31,1,0.002,0.06,0.062,0.748,2,2,1,False
2,附件3_未对齐版本_02,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_02.pkl,audio,interior_zero_candidate,36,37,1,0.002,0.072,0.074,0.748,2,2,1,False
2,附件3_未对齐版本_02,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_02.pkl,audio,interior_zero_candidate,43,44,1,0.002,0.086,0.088,0.748,2,2,1,False
2,附件3_未对齐版本_02,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_02.pkl,audio,interior_zero_candidate,46,47,1,0.002,0.092,0.094,0.748,2,2,1,False
2,附件3_未对齐版本_02,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_02.pkl,audio,interior_zero_candidate,54,57,3,0.006,0.108,0.114,0.748,2,2,3,False
2,附件3_未对齐版本_02,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_02.pkl,audio,interior_zero_candidate,60,61,1,0.002,0.12,0.122,0.748,2,2,1,False
2,附件3_未对齐版本_02,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_02.pkl,audio,interior_zero_candidate,62,63,1,0.002,0.124,0.126,0.748,2,2,1,False
2,附件3_未对齐版本_02,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_02.pkl,audio,interior_zero_candidate,98,99,1,0.002,0.196,0.198,0.748,2,2,1,False
2,附件3_未对齐版本_02,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_02.pkl,audio,interior_zero_candidate,105,106,1,0.002,0.21,0.212,0.748,2,2,1,False
2,附件3_未对齐版本_02,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_02.pkl,audio,interior_zero_candidate,110,112,2,0.004,0.22,0.224,0.748,2,2,2,False
2,附件3_未对齐版本_02,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_02.pkl,audio,interior_zero_candidate,114,115,1,0.002,0.228,0.23,0.748,2,2,1,False
2,附件3_未对齐版本_02,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_02.pkl,audio,interior_zero_candidate,128,129,1,0.002,0.256,0.258,0.748,2,2,1,False
2,附件3_未对齐版本_02,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_02.pkl,audio,interior_zero_candidate,131,132,1,0.002,0.262,0.264,0.748,2,2,1,False
2,附件3_未对齐版本_02,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_02.pkl,audio,interior_zero_candidate,134,135,1,0.002,0.268,0.27,0.748,2,2,1,False
2,附件3_未对齐版本_02,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_02.pkl,audio,suffix_zero_ambiguous,144,500,356,0.712,0.288,1.0,0.748,2,2,0,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,5,7,2,0.004,0.01,0.014,0.656,2,2,2,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,22,23,1,0.002,0.044,0.046,0.656,2,2,1,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,26,27,1,0.002,0.052,0.054,0.656,2,2,1,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,32,34,2,0.004,0.064,0.068,0.656,2,2,2,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,61,62,1,0.002,0.122,0.124,0.656,2,2,1,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,70,72,2,0.004,0.14,0.144,0.656,2,2,2,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,73,74,1,0.002,0.146,0.148,0.656,2,2,1,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,81,82,1,0.002,0.162,0.164,0.656,2,2,1,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,88,89,1,0.002,0.176,0.178,0.656,2,2,1,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,98,99,1,0.002,0.196,0.198,0.656,2,2,1,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,100,101,1,0.002,0.2,0.202,0.656,2,2,1,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,105,106,1,0.002,0.21,0.212,0.656,2,2,1,False
